5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2006 0:00,96,1,100,4030
1/10/2006 0:15,96,1,100,4030
1/10/2006 0:30,59,1,100,4030
1/10/2006 0:45,67,1,100,4030
1/10/2006 1:00,68,1,100,4030
1/10/2006 1:15,44,1,100,4030
1/10/2006 1:30,36,1,100,4030
1/10/2006 1:45,34,1,100,4030
1/10/2006 2:00,29,1,100,4030
1/10/2006 2:15,30,1,100,4030
1/10/2006 2:30,27,1,100,4030
1/10/2006 2:45,30,1,100,4030
1/10/2006 3:00,28,1,100,4030
1/10/2006 3:15,26,1,100,4030
1/10/2006 3:30,38,1,100,4030
1/10/2006 3:45,21,1,100,4030
1/10/2006 4:00,25,1,100,4030
1/10/2006 4:15,12,1,100,4030
1/10/2006 4:30,12,1,100,4030
1/10/2006 4:45,9,1,100,4030
1/10/2006 5:00,27,1,100,4030
1/10/2006 5:15,16,1,100,4030
1/10/2006 5:30,22,1,100,4030
1/10/2006 5:45,22,1,100,4030
1/10/2006 6:00,39,1,100,4030
1/10/2006 6:15,36,1,100,4030
1/10/2006 6:30,60,1,100,4030
1/10/2006 6:45,37,1,100,4030
1/10/2006 7:00,39,1,100,4030
1/10/2006 7:15,53,1,100,4030
1/10/2006 7:30,66,1,100,4030
1/10/2006 7:45,39,1,100,4030
1/10/2006 8:00,76,1,100,4030
1/10/2006 8:15,91,1,100,4030
1/10/2006 8:30,88,1,100,4030
1/10/2006 8:45,108,1,100,4030
1/10/2006 9:00,97,1,100,4030
1/10/2006 9:15,121,1,100,4030
1/10/2006 9:30,147,1,100,4030
1/10/2006 9:45,138,1,100,4030
1/10/2006 10:00,173,1,100,4030
1/10/2006 10:15,163,1,100,4030
1/10/2006 10:30,165,1,100,4030
1/10/2006 10:45,188,1,100,4030
1/10/2006 11:00,180,1,100,4030
1/10/2006 11:15,161,1,100,4030
1/10/2006 11:30,195,1,100,4030
1/10/2006 11:45,191,1,100,4030
1/10/2006 12:00,223,1,100,4030
1/10/2006 12:15,229,1,100,4030
1/10/2006 12:30,206,1,100,4030
1/10/2006 12:45,243,1,100,4030
1/10/2006 13:00,214,1,100,4030
1/10/2006 13:15,203,1,100,4030
1/10/2006 13:30,211,1,100,4030
1/10/2006 13:45,227,1,100,4030
1/10/2006 14:00,238,1,100,4030
1/10/2006 14:15,225,1,100,4030
1/10/2006 14:30,260,1,100,4030
1/10/2006 14:45,227,1,100,4030
1/10/2006 15:00,242,1,100,4030
1/10/2006 15:15,210,1,100,4030
1/10/2006 15:30,208,1,100,4030
1/10/2006 15:45,220,1,100,4030
1/10/2006 16:00,244,1,100,4030
1/10/2006 16:15,206,1,100,4030
1/10/2006 16:30,209,1,100,4030
1/10/2006 16:45,212,1,100,4030
1/10/2006 17:00,222,1,100,4030
1/10/2006 17:15,254,1,100,4030
1/10/2006 17:30,253,1,100,4030
1/10/2006 17:45,244,1,100,4030
1/10/2006 18:00,177,1,100,4030
1/10/2006 18:15,187,1,100,4030
1/10/2006 18:30,203,1,100,4030
1/10/2006 18:45,204,1,100,4030
1/10/2006 19:00,163,1,100,4030
1/10/2006 19:15,138,1,100,4030
1/10/2006 19:30,128,1,100,4030
1/10/2006 19:45,113,1,100,4030
1/10/2006 20:00,134,1,100,4030
1/10/2006 20:15,124,1,100,4030
1/10/2006 20:30,97,1,100,4030
1/10/2006 20:45,85,1,100,4030
1/10/2006 21:00,114,1,100,4030
1/10/2006 21:15,164,1,100,4030
1/10/2006 21:30,131,1,100,4030
1/10/2006 21:45,115,1,100,4030
1/10/2006 22:00,139,1,100,4030
1/10/2006 22:15,95,1,100,4030
1/10/2006 22:30,64,1,100,4030
1/10/2006 22:45,72,1,100,4030
1/10/2006 23:00,50,1,100,4030
1/10/2006 23:15,67,1,100,4030
1/10/2006 23:30,42,1,100,4030
1/10/2006 23:45,51,1,100,4030
2/10/2006 0:00,34,1,100,4030
2/10/2006 0:15,45,1,100,4030
2/10/2006 0:30,29,1,100,4030
2/10/2006 0:45,15,1,100,4030
2/10/2006 1:00,14,1,100,4030
2/10/2006 1:15,22,1,100,4030
2/10/2006 1:30,13,1,100,4030
2/10/2006 1:45,12,1,100,4030
2/10/2006 2:00,15,1,100,4030
2/10/2006 2:15,15,1,100,4030
2/10/2006 2:30,9,1,100,4030
2/10/2006 2:45,15,1,100,4030
2/10/2006 3:00,9,1,100,4030
2/10/2006 3:15,6,1,100,4030
2/10/2006 3:30,12,1,100,4030
2/10/2006 3:45,7,1,100,4030
2/10/2006 4:00,7,1,100,4030
2/10/2006 4:15,14,1,100,4030
2/10/2006 4:30,20,1,100,4030
2/10/2006 4:45,9,1,100,4030
2/10/2006 5:00,19,1,100,4030
2/10/2006 5:15,19,1,100,4030
2/10/2006 5:30,32,1,100,4030
2/10/2006 5:45,35,1,100,4030
2/10/2006 6:00,51,1,100,4030
2/10/2006 6:15,91,1,100,4030
2/10/2006 6:30,117,1,100,4030
2/10/2006 6:45,133,1,100,4030
2/10/2006 7:00,170,1,100,4030
2/10/2006 7:15,221,1,100,4030
2/10/2006 7:30,229,1,100,4030
2/10/2006 7:45,291,1,100,4030
2/10/2006 8:00,223,1,100,4030
2/10/2006 8:15,284,1,100,4030
2/10/2006 8:30,231,1,100,4030
2/10/2006 8:45,257,1,100,4030
2/10/2006 9:00,203,1,100,4030
2/10/2006 9:15,232,1,100,4030
2/10/2006 9:30,246,1,100,4030
2/10/2006 9:45,206,1,100,4030
2/10/2006 10:00,213,1,100,4030
2/10/2006 10:15,233,1,100,4030
2/10/2006 10:30,254,1,100,4030
2/10/2006 10:45,216,1,100,4030
2/10/2006 11:00,199,1,100,4030
2/10/2006 11:15,202,1,100,4030
2/10/2006 11:30,190,1,100,4030
2/10/2006 11:45,224,1,100,4030
2/10/2006 12:00,200,1,100,4030
2/10/2006 12:15,214,1,100,4030
2/10/2006 12:30,222,1,100,4030
2/10/2006 12:45,221,1,100,4030
2/10/2006 13:00,255,1,100,4030
2/10/2006 13:15,257,1,100,4030
2/10/2006 13:30,228,1,100,4030
2/10/2006 13:45,200,1,100,4030
2/10/2006 14:00,252,1,100,4030
2/10/2006 14:15,247,1,100,4030
2/10/2006 14:30,279,1,100,4030
2/10/2006 14:45,231,1,100,4030
2/10/2006 15:00,239,1,100,4030
2/10/2006 15:15,254,1,100,4030
2/10/2006 15:30,246,1,100,4030
2/10/2006 15:45,204,1,100,4030
2/10/2006 16:00,283,1,100,4030
2/10/2006 16:15,296,1,100,4030
2/10/2006 16:30,303,1,100,4030
2/10/2006 16:45,309,1,100,4030
2/10/2006 17:00,260,1,100,4030
2/10/2006 17:15,279,1,100,4030
2/10/2006 17:30,312,1,100,4030
2/10/2006 17:45,284,1,100,4030
2/10/2006 18:00,321,1,100,4030
2/10/2006 18:15,245,1,100,4030
2/10/2006 18:30,233,1,100,4030
2/10/2006 18:45,214,1,100,4030
2/10/2006 19:00,182,1,100,4030
2/10/2006 19:15,214,1,100,4030
2/10/2006 19:30,152,1,100,4030
2/10/2006 19:45,169,1,100,4030
2/10/2006 20:00,140,1,100,4030
2/10/2006 20:15,108,1,100,4030
2/10/2006 20:30,117,1,100,4030
2/10/2006 20:45,127,1,100,4030
2/10/2006 21:00,156,1,100,4030
2/10/2006 21:15,133,1,100,4030
2/10/2006 21:30,120,1,100,4030
2/10/2006 21:45,135,1,100,4030
2/10/2006 22:00,126,1,100,4030
2/10/2006 22:15,120,1,100,4030
2/10/2006 22:30,93,1,100,4030
2/10/2006 22:45,52,1,100,4030
2/10/2006 23:00,51,1,100,4030
2/10/2006 23:15,43,1,100,4030
2/10/2006 23:30,41,1,100,4030
2/10/2006 23:45,34,1,100,4030
3/10/2006 0:00,45,1,100,4030
3/10/2006 0:15,23,1,100,4030
3/10/2006 0:30,23,1,100,4030
3/10/2006 0:45,15,1,100,4030
3/10/2006 1:00,7,1,100,4030
3/10/2006 1:15,11,1,100,4030
3/10/2006 1:30,14,1,100,4030
3/10/2006 1:45,6,1,100,4030
3/10/2006 2:00,11,1,100,4030
3/10/2006 2:15,7,1,100,4030
3/10/2006 2:30,11,1,100,4030
3/10/2006 2:45,8,1,100,4030
3/10/2006 3:00,8,1,100,4030
3/10/2006 3:15,6,1,100,4030
3/10/2006 3:30,7,1,100,4030
3/10/2006 3:45,6,1,100,4030
3/10/2006 4:00,17,1,100,4030
3/10/2006 4:15,10,1,100,4030
3/10/2006 4:30,15,1,100,4030
3/10/2006 4:45,14,1,100,4030
3/10/2006 5:00,25,1,100,4030
3/10/2006 5:15,29,1,100,4030
3/10/2006 5:30,36,1,100,4030
3/10/2006 5:45,38,1,100,4030
3/10/2006 6:00,52,1,100,4030
3/10/2006 6:15,112,1,100,4030
3/10/2006 6:30,142,1,100,4030
3/10/2006 6:45,140,1,100,4030
3/10/2006 7:00,162,1,100,4030
3/10/2006 7:15,213,1,100,4030
3/10/2006 7:30,261,1,100,4030
3/10/2006 7:45,258,1,100,4030
3/10/2006 8:00,275,1,100,4030
3/10/2006 8:15,260,1,100,4030
3/10/2006 8:30,269,1,100,4030
3/10/2006 8:45,210,1,100,4030
3/10/2006 9:00,233,1,100,4030
3/10/2006 9:15,224,1,100,4030
3/10/2006 9:30,297,1,100,4030
3/10/2006 9:45,264,1,100,4030
3/10/2006 10:00,189,1,100,4030
3/10/2006 10:15,274,1,100,4030
3/10/2006 10:30,285,1,100,4030
3/10/2006 10:45,218,1,100,4030
3/10/2006 11:00,250,1,100,4030
3/10/2006 11:15,215,1,100,4030
3/10/2006 11:30,237,1,100,4030
3/10/2006 11:45,226,1,100,4030
3/10/2006 12:00,211,1,100,4030
3/10/2006 12:15,225,1,100,4030
3/10/2006 12:30,210,1,100,4030
3/10/2006 12:45,237,1,100,4030
3/10/2006 13:00,213,1,100,4030
3/10/2006 13:15,214,1,100,4030
3/10/2006 13:30,231,1,100,4030
3/10/2006 13:45,194,1,100,4030
3/10/2006 14:00,185,1,100,4030
3/10/2006 14:15,260,1,100,4030
3/10/2006 14:30,309,1,100,4030
3/10/2006 14:45,225,1,100,4030
3/10/2006 15:00,255,1,100,4030
3/10/2006 15:15,255,1,100,4030
3/10/2006 15:30,259,1,100,4030
3/10/2006 15:45,249,1,100,4030
3/10/2006 16:00,281,1,100,4030
3/10/2006 16:15,294,1,100,4030
3/10/2006 16:30,286,1,100,4030
3/10/2006 16:45,293,1,100,4030
3/10/2006 17:00,290,1,100,4030
3/10/2006 17:15,306,1,100,4030
3/10/2006 17:30,252,1,100,4030
3/10/2006 17:45,317,1,100,4030
3/10/2006 18:00,280,1,100,4030
3/10/2006 18:15,286,1,100,4030
3/10/2006 18:30,302,1,100,4030
3/10/2006 18:45,250,1,100,4030
3/10/2006 19:00,257,1,100,4030
3/10/2006 19:15,261,1,100,4030
3/10/2006 19:30,232,1,100,4030
3/10/2006 19:45,199,1,100,4030
3/10/2006 20:00,193,1,100,4030
3/10/2006 20:15,158,1,100,4030
3/10/2006 20:30,193,1,100,4030
3/10/2006 20:45,162,1,100,4030
3/10/2006 21:00,147,1,100,4030
3/10/2006 21:15,165,1,100,4030
3/10/2006 21:30,154,1,100,4030
3/10/2006 21:45,206,1,100,4030
3/10/2006 22:00,155,1,100,4030
3/10/2006 22:15,157,1,100,4030
3/10/2006 22:30,112,1,100,4030
3/10/2006 22:45,101,1,100,4030
3/10/2006 23:00,80,1,100,4030
3/10/2006 23:15,80,1,100,4030
3/10/2006 23:30,71,1,100,4030
3/10/2006 23:45,46,1,100,4030
4/10/2006 0:00,31,1,100,4030
4/10/2006 0:15,38,1,100,4030
4/10/2006 0:30,28,1,100,4030
4/10/2006 0:45,21,1,100,4030
4/10/2006 1:00,25,1,100,4030
4/10/2006 1:15,14,1,100,4030
4/10/2006 1:30,18,1,100,4030
4/10/2006 1:45,17,1,100,4030
4/10/2006 2:00,22,1,100,4030
4/10/2006 2:15,14,1,100,4030
4/10/2006 2:30,15,1,100,4030
4/10/2006 2:45,24,1,100,4030
4/10/2006 3:00,18,1,100,4030
4/10/2006 3:15,10,1,100,4030
4/10/2006 3:30,20,1,100,4030
4/10/2006 3:45,12,1,100,4030
4/10/2006 4:00,13,1,100,4030
4/10/2006 4:15,15,1,100,4030
4/10/2006 4:30,16,1,100,4030
4/10/2006 4:45,13,1,100,4030
4/10/2006 5:00,29,1,100,4030
4/10/2006 5:15,24,1,100,4030
4/10/2006 5:30,36,1,100,4030
4/10/2006 5:45,40,1,100,4030
4/10/2006 6:00,66,1,100,4030
4/10/2006 6:15,76,1,100,4030
4/10/2006 6:30,137,1,100,4030
4/10/2006 6:45,132,1,100,4030
4/10/2006 7:00,177,1,100,4030
4/10/2006 7:15,222,1,100,4030
4/10/2006 7:30,273,1,100,4030
4/10/2006 7:45,291,1,100,4030
4/10/2006 8:00,260,1,100,4030
4/10/2006 8:15,284,1,100,4030
4/10/2006 8:30,279,1,100,4030
4/10/2006 8:45,251,1,100,4030
4/10/2006 9:00,267,1,100,4030
4/10/2006 9:15,202,1,100,4030
4/10/2006 9:30,266,1,100,4030
4/10/2006 9:45,211,1,100,4030
4/10/2006 10:00,223,1,100,4030
4/10/2006 10:15,210,1,100,4030
4/10/2006 10:30,259,1,100,4030
4/10/2006 10:45,221,1,100,4030
4/10/2006 11:00,240,1,100,4030
4/10/2006 11:15,235,1,100,4030
4/10/2006 11:30,254,1,100,4030
4/10/2006 11:45,238,1,100,4030
4/10/2006 12:00,255,1,100,4030
4/10/2006 12:15,213,1,100,4030
4/10/2006 12:30,188,1,100,4030
4/10/2006 12:45,237,1,100,4030
4/10/2006 13:00,205,1,100,4030
4/10/2006 13:15,209,1,100,4030
4/10/2006 13:30,239,1,100,4030
4/10/2006 13:45,224,1,100,4030
4/10/2006 14:00,220,1,100,4030
4/10/2006 14:15,249,1,100,4030
4/10/2006 14:30,227,1,100,4030
4/10/2006 14:45,174,1,100,4030
4/10/2006 15:00,242,1,100,4030
4/10/2006 15:15,267,1,100,4030
4/10/2006 15:30,242,1,100,4030
4/10/2006 15:45,265,1,100,4030
4/10/2006 16:00,301,1,100,4030
4/10/2006 16:15,330,1,100,4030
4/10/2006 16:30,286,1,100,4030
4/10/2006 16:45,309,1,100,4030
4/10/2006 17:00,288,1,100,4030
4/10/2006 17:15,289,1,100,4030
4/10/2006 17:30,298,1,100,4030
4/10/2006 17:45,290,1,100,4030
4/10/2006 18:00,317,1,100,4030
4/10/2006 18:15,280,1,100,4030
4/10/2006 18:30,252,1,100,4030
4/10/2006 18:45,250,1,100,4030
4/10/2006 19:00,246,1,100,4030
4/10/2006 19:15,186,1,100,4030
4/10/2006 19:30,198,1,100,4030
4/10/2006 19:45,186,1,100,4030
4/10/2006 20:00,192,1,100,4030
4/10/2006 20:15,198,1,100,4030
4/10/2006 20:30,150,1,100,4030
4/10/2006 20:45,178,1,100,4030
4/10/2006 21:00,212,1,100,4030
4/10/2006 21:15,179,1,100,4030
4/10/2006 21:30,166,1,100,4030
4/10/2006 21:45,170,1,100,4030
4/10/2006 22:00,179,1,100,4030
4/10/2006 22:15,144,1,100,4030
4/10/2006 22:30,114,1,100,4030
4/10/2006 22:45,107,1,100,4030
4/10/2006 23:00,111,1,100,4030
4/10/2006 23:15,63,1,100,4030
4/10/2006 23:30,54,1,100,4030
4/10/2006 23:45,65,1,100,4030
5/10/2006 0:00,51,1,100,4030
5/10/2006 0:15,35,1,100,4030
5/10/2006 0:30,29,1,100,4030
5/10/2006 0:45,29,1,100,4030
5/10/2006 1:00,27,1,100,4030
5/10/2006 1:15,21,1,100,4030
5/10/2006 1:30,22,1,100,4030
5/10/2006 1:45,8,1,100,4030
5/10/2006 2:00,16,1,100,4030
5/10/2006 2:15,17,1,100,4030
5/10/2006 2:30,12,1,100,4030
5/10/2006 2:45,17,1,100,4030
5/10/2006 3:00,26,1,100,4030
5/10/2006 3:15,17,1,100,4030
5/10/2006 3:30,27,1,100,4030
5/10/2006 3:45,7,1,100,4030
5/10/2006 4:00,10,1,100,4030
5/10/2006 4:15,12,1,100,4030
5/10/2006 4:30,21,1,100,4030
5/10/2006 4:45,19,1,100,4030
5/10/2006 5:00,20,1,100,4030
5/10/2006 5:15,31,1,100,4030
5/10/2006 5:30,34,1,100,4030
5/10/2006 5:45,45,1,100,4030
5/10/2006 6:00,68,1,100,4030
5/10/2006 6:15,85,1,100,4030
5/10/2006 6:30,160,1,100,4030
5/10/2006 6:45,156,1,100,4030
5/10/2006 7:00,135,1,100,4030
5/10/2006 7:15,222,1,100,4030
5/10/2006 7:30,229,1,100,4030
5/10/2006 7:45,266,1,100,4030
5/10/2006 8:00,349,1,100,4030
5/10/2006 8:15,233,1,100,4030
5/10/2006 8:30,285,1,100,4030
5/10/2006 8:45,273,1,100,4030
5/10/2006 9:00,271,1,100,4030
5/10/2006 9:15,233,1,100,4030
5/10/2006 9:30,224,1,100,4030
5/10/2006 9:45,217,1,100,4030
5/10/2006 10:00,227,1,100,4030
5/10/2006 10:15,226,1,100,4030
5/10/2006 10:30,213,1,100,4030
5/10/2006 10:45,223,1,100,4030
5/10/2006 11:00,249,1,100,4030
5/10/2006 11:15,202,1,100,4030
5/10/2006 11:30,242,1,100,4030
5/10/2006 11:45,231,1,100,4030
5/10/2006 12:00,201,1,100,4030
5/10/2006 12:15,256,1,100,4030
5/10/2006 12:30,226,1,100,4030
5/10/2006 12:45,260,1,100,4030
5/10/2006 13:00,225,1,100,4030
5/10/2006 13:15,244,1,100,4030
5/10/2006 13:30,299,1,100,4030
5/10/2006 13:45,224,1,100,4030
5/10/2006 14:00,242,1,100,4030
5/10/2006 14:15,307,1,100,4030
5/10/2006 14:30,258,1,100,4030
5/10/2006 14:45,241,1,100,4030
5/10/2006 15:00,248,1,100,4030
5/10/2006 15:15,235,1,100,4030
5/10/2006 15:30,308,1,100,4030
5/10/2006 15:45,249,1,100,4030
5/10/2006 16:00,309,1,100,4030
5/10/2006 16:15,310,1,100,4030
5/10/2006 16:30,313,1,100,4030
5/10/2006 16:45,287,1,100,4030
5/10/2006 17:00,293,1,100,4030
5/10/2006 17:15,232,1,100,4030
5/10/2006 17:30,301,1,100,4030
5/10/2006 17:45,285,1,100,4030
5/10/2006 18:00,307,1,100,4030
5/10/2006 18:15,277,1,100,4030
5/10/2006 18:30,284,1,100,4030
5/10/2006 18:45,232,1,100,4030
5/10/2006 19:00,280,1,100,4030
5/10/2006 19:15,249,1,100,4030
5/10/2006 19:30,192,1,100,4030
5/10/2006 19:45,218,1,100,4030
5/10/2006 20:00,175,1,100,4030
5/10/2006 20:15,170,1,100,4030
5/10/2006 20:30,155,1,100,4030
5/10/2006 20:45,160,1,100,4030
5/10/2006 21:00,205,1,100,4030
5/10/2006 21:15,185,1,100,4030
5/10/2006 21:30,177,1,100,4030
5/10/2006 21:45,136,1,100,4030
5/10/2006 22:00,145,1,100,4030
5/10/2006 22:15,126,1,100,4030
5/10/2006 22:30,115,1,100,4030
5/10/2006 22:45,117,1,100,4030
5/10/2006 23:00,120,1,100,4030
5/10/2006 23:15,89,1,100,4030
5/10/2006 23:30,84,1,100,4030
5/10/2006 23:45,60,1,100,4030
6/10/2006 0:00,34,1,100,4030
6/10/2006 0:15,43,1,100,4030
6/10/2006 0:30,45,1,100,4030
6/10/2006 0:45,33,1,100,4030
6/10/2006 1:00,20,1,100,4030
6/10/2006 1:15,20,1,100,4030
6/10/2006 1:30,21,1,100,4030
6/10/2006 1:45,21,1,100,4030
6/10/2006 2:00,28,1,100,4030
6/10/2006 2:15,21,1,100,4030
6/10/2006 2:30,21,1,100,4030
6/10/2006 2:45,10,1,100,4030
6/10/2006 3:00,22,1,100,4030
6/10/2006 3:15,15,1,100,4030
6/10/2006 3:30,19,1,100,4030
6/10/2006 3:45,20,1,100,4030
6/10/2006 4:00,4,1,100,4030
6/10/2006 4:15,7,1,100,4030
6/10/2006 4:30,11,1,100,4030
6/10/2006 4:45,24,1,100,4030
6/10/2006 5:00,17,1,100,4030
6/10/2006 5:15,31,1,100,4030
6/10/2006 5:30,47,1,100,4030
6/10/2006 5:45,46,1,100,4030
6/10/2006 6:00,73,1,100,4030
6/10/2006 6:15,86,1,100,4030
6/10/2006 6:30,139,1,100,4030
6/10/2006 6:45,149,1,100,4030
6/10/2006 7:00,157,1,100,4030
6/10/2006 7:15,201,1,100,4030
6/10/2006 7:30,248,1,100,4030
6/10/2006 7:45,291,1,100,4030
6/10/2006 8:00,212,1,100,4030
6/10/2006 8:15,223,1,100,4030
6/10/2006 8:30,256,1,100,4030
6/10/2006 8:45,223,1,100,4030
6/10/2006 9:00,220,1,100,4030
6/10/2006 9:15,211,1,100,4030
6/10/2006 9:30,257,1,100,4030
6/10/2006 9:45,217,1,100,4030
6/10/2006 10:00,287,1,100,4030
6/10/2006 10:15,225,1,100,4030
6/10/2006 10:30,226,1,100,4030
6/10/2006 10:45,183,1,100,4030
6/10/2006 11:00,243,1,100,4030
6/10/2006 11:15,241,1,100,4030
6/10/2006 11:30,276,1,100,4030
6/10/2006 11:45,238,1,100,4030
6/10/2006 12:00,248,1,100,4030
6/10/2006 12:15,232,1,100,4030
6/10/2006 12:30,248,1,100,4030
6/10/2006 12:45,248,1,100,4030
6/10/2006 13:00,233,1,100,4030
6/10/2006 13:15,275,1,100,4030
6/10/2006 13:30,258,1,100,4030
6/10/2006 13:45,215,1,100,4030
6/10/2006 14:00,238,1,100,4030
6/10/2006 14:15,299,1,100,4030
6/10/2006 14:30,270,1,100,4030
6/10/2006 14:45,241,1,100,4030
6/10/2006 15:00,278,1,100,4030
6/10/2006 15:15,278,1,100,4030
6/10/2006 15:30,280,1,100,4030
6/10/2006 15:45,197,1,100,4030
6/10/2006 16:00,310,1,100,4030
6/10/2006 16:15,309,1,100,4030
6/10/2006 16:30,324,1,100,4030
6/10/2006 16:45,281,1,100,4030
6/10/2006 17:00,318,1,100,4030
6/10/2006 17:15,298,1,100,4030
6/10/2006 17:30,276,1,100,4030
6/10/2006 17:45,293,1,100,4030
6/10/2006 18:00,338,1,100,4030
6/10/2006 18:15,303,1,100,4030
6/10/2006 18:30,291,1,100,4030
6/10/2006 18:45,250,1,100,4030
6/10/2006 19:00,266,1,100,4030
6/10/2006 19:15,220,1,100,4030
6/10/2006 19:30,189,1,100,4030
6/10/2006 19:45,186,1,100,4030
6/10/2006 20:00,178,1,100,4030
6/10/2006 20:15,163,1,100,4030
6/10/2006 20:30,164,1,100,4030
6/10/2006 20:45,137,1,100,4030
6/10/2006 21:00,111,1,100,4030
6/10/2006 21:15,155,1,100,4030
6/10/2006 21:30,144,1,100,4030
6/10/2006 21:45,133,1,100,4030
6/10/2006 22:00,177,1,100,4030
6/10/2006 22:15,158,1,100,4030
6/10/2006 22:30,138,1,100,4030
6/10/2006 22:45,131,1,100,4030
6/10/2006 23:00,130,1,100,4030
6/10/2006 23:15,102,1,100,4030
6/10/2006 23:30,133,1,100,4030
6/10/2006 23:45,86,1,100,4030
7/10/2006 0:00,105,1,100,4030
7/10/2006 0:15,94,1,100,4030
7/10/2006 0:30,84,1,100,4030
7/10/2006 0:45,82,1,100,4030
7/10/2006 1:00,61,1,100,4030
7/10/2006 1:15,54,1,100,4030
7/10/2006 1:30,52,1,100,4030
7/10/2006 1:45,40,1,100,4030
7/10/2006 2:00,61,1,100,4030
7/10/2006 2:15,40,1,100,4030
7/10/2006 2:30,24,1,100,4030
7/10/2006 2:45,29,1,100,4030
7/10/2006 3:00,18,1,100,4030
7/10/2006 3:15,32,1,100,4030
7/10/2006 3:30,29,1,100,4030
7/10/2006 3:45,15,1,100,4030
7/10/2006 4:00,29,1,100,4030
7/10/2006 4:15,16,1,100,4030
7/10/2006 4:30,21,1,100,4030
7/10/2006 4:45,17,1,100,4030
7/10/2006 5:00,25,1,100,4030
7/10/2006 5:15,24,1,100,4030
7/10/2006 5:30,45,1,100,4030
7/10/2006 5:45,34,1,100,4030
7/10/2006 6:00,66,1,100,4030
7/10/2006 6:15,62,1,100,4030
7/10/2006 6:30,118,1,100,4030
7/10/2006 6:45,76,1,100,4030
7/10/2006 7:00,72,1,100,4030
7/10/2006 7:15,91,1,100,4030
7/10/2006 7:30,99,1,100,4030
7/10/2006 7:45,125,1,100,4030
7/10/2006 8:00,107,1,100,4030
