5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2006 0:00,26,1,100,4321
1/10/2006 0:15,21,1,100,4321
1/10/2006 0:30,27,1,100,4321
1/10/2006 0:45,24,1,100,4321
1/10/2006 1:00,19,1,100,4321
1/10/2006 1:15,15,1,100,4321
1/10/2006 1:30,16,1,100,4321
1/10/2006 1:45,12,1,100,4321
1/10/2006 2:00,9,1,100,4321
1/10/2006 2:15,13,1,100,4321
1/10/2006 2:30,12,1,100,4321
1/10/2006 2:45,8,1,100,4321
1/10/2006 3:00,9,1,100,4321
1/10/2006 3:15,10,1,100,4321
1/10/2006 3:30,4,1,100,4321
1/10/2006 3:45,3,1,100,4321
1/10/2006 4:00,11,1,100,4321
1/10/2006 4:15,6,1,100,4321
1/10/2006 4:30,6,1,100,4321
1/10/2006 4:45,0,1,100,4321
1/10/2006 5:00,8,1,100,4321
1/10/2006 5:15,7,1,100,4321
1/10/2006 5:30,8,1,100,4321
1/10/2006 5:45,5,1,100,4321
1/10/2006 6:00,6,1,100,4321
1/10/2006 6:15,8,1,100,4321
1/10/2006 6:30,13,1,100,4321
1/10/2006 6:45,16,1,100,4321
1/10/2006 7:00,21,1,100,4321
1/10/2006 7:15,21,1,100,4321
1/10/2006 7:30,22,1,100,4321
1/10/2006 7:45,30,1,100,4321
1/10/2006 8:00,29,1,100,4321
1/10/2006 8:15,40,1,100,4321
1/10/2006 8:30,30,1,100,4321
1/10/2006 8:45,43,1,100,4321
1/10/2006 9:00,57,1,100,4321
1/10/2006 9:15,60,1,100,4321
1/10/2006 9:30,66,1,100,4321
1/10/2006 9:45,74,1,100,4321
1/10/2006 10:00,69,1,100,4321
1/10/2006 10:15,79,1,100,4321
1/10/2006 10:30,82,1,100,4321
1/10/2006 10:45,73,1,100,4321
1/10/2006 11:00,97,1,100,4321
1/10/2006 11:15,97,1,100,4321
1/10/2006 11:30,94,1,100,4321
1/10/2006 11:45,77,1,100,4321
1/10/2006 12:00,87,1,100,4321
1/10/2006 12:15,95,1,100,4321
1/10/2006 12:30,74,1,100,4321
1/10/2006 12:45,78,1,100,4321
1/10/2006 13:00,71,1,100,4321
1/10/2006 13:15,78,1,100,4321
1/10/2006 13:30,87,1,100,4321
1/10/2006 13:45,81,1,100,4321
1/10/2006 14:00,80,1,100,4321
1/10/2006 14:15,75,1,100,4321
1/10/2006 14:30,76,1,100,4321
1/10/2006 14:45,83,1,100,4321
1/10/2006 15:00,75,1,100,4321
1/10/2006 15:15,83,1,100,4321
1/10/2006 15:30,85,1,100,4321
1/10/2006 15:45,84,1,100,4321
1/10/2006 16:00,83,1,100,4321
1/10/2006 16:15,76,1,100,4321
1/10/2006 16:30,83,1,100,4321
1/10/2006 16:45,75,1,100,4321
1/10/2006 17:00,75,1,100,4321
1/10/2006 17:15,86,1,100,4321
1/10/2006 17:30,80,1,100,4321
1/10/2006 17:45,67,1,100,4321
1/10/2006 18:00,74,1,100,4321
1/10/2006 18:15,73,1,100,4321
1/10/2006 18:30,65,1,100,4321
1/10/2006 18:45,80,1,100,4321
1/10/2006 19:00,67,1,100,4321
1/10/2006 19:15,36,1,100,4321
1/10/2006 19:30,38,1,100,4321
1/10/2006 19:45,39,1,100,4321
1/10/2006 20:00,34,1,100,4321
1/10/2006 20:15,28,1,100,4321
1/10/2006 20:30,34,1,100,4321
1/10/2006 20:45,24,1,100,4321
1/10/2006 21:00,41,1,100,4321
1/10/2006 21:15,58,1,100,4321
1/10/2006 21:30,46,1,100,4321
1/10/2006 21:45,32,1,100,4321
1/10/2006 22:00,24,1,100,4321
1/10/2006 22:15,15,1,100,4321
1/10/2006 22:30,23,1,100,4321
1/10/2006 22:45,14,1,100,4321
1/10/2006 23:00,8,1,100,4321
1/10/2006 23:15,11,1,100,4321
1/10/2006 23:30,17,1,100,4321
1/10/2006 23:45,9,1,100,4321
2/10/2006 0:00,4,1,100,4321
2/10/2006 0:15,5,1,100,4321
2/10/2006 0:30,8,1,100,4321
2/10/2006 0:45,4,1,100,4321
2/10/2006 1:00,5,1,100,4321
2/10/2006 1:15,3,1,100,4321
2/10/2006 1:30,4,1,100,4321
2/10/2006 1:45,2,1,100,4321
2/10/2006 2:00,0,1,100,4321
2/10/2006 2:15,2,1,100,4321
2/10/2006 2:30,4,1,100,4321
2/10/2006 2:45,2,1,100,4321
2/10/2006 3:00,1,1,100,4321
2/10/2006 3:15,0,1,100,4321
2/10/2006 3:30,4,1,100,4321
2/10/2006 3:45,2,1,100,4321
2/10/2006 4:00,2,1,100,4321
2/10/2006 4:15,3,1,100,4321
2/10/2006 4:30,7,1,100,4321
2/10/2006 4:45,5,1,100,4321
2/10/2006 5:00,5,1,100,4321
2/10/2006 5:15,13,1,100,4321
2/10/2006 5:30,17,1,100,4321
2/10/2006 5:45,31,1,100,4321
2/10/2006 6:00,36,1,100,4321
2/10/2006 6:15,41,1,100,4321
2/10/2006 6:30,86,1,100,4321
2/10/2006 6:45,105,1,100,4321
2/10/2006 7:00,140,1,100,4321
2/10/2006 7:15,201,1,100,4321
