SCATS Number,Site Description,Site Type,Latitude,Longitude,Neighbours
970,WARRIGAL/HIGH ST RD,INT,-37.86703,145.09159,3685;2846
2000,BURWOOD HWY/WARRIGAL/TOORAK,INT,-37.8516827,145.0943457,3685;3682;4043
2200,MAROONDAH/UNION,INT,-37.81631,145.09812,3126;4063
2820,CHANDLER HWY/PRINCESS/VALERIE/EASTERN,INT,-37.79477,145.03077,3662;4321
2825,EASTERN/BURKE,INT,-37.78661,145.06202,4030;2827;2820
2827,EASTERN/BULLEEN/THOMPSONS,INT,-37.78093,145.07733,2825;4051
2846,MONASH/HIGH ST RD,INT,-37.8612671,145.058038,970
3001,BARKERS/CHURCH/HIGH,INT,-37.81441,145.02243,3002;3662;4821;4262
3002,BARKERS/DENMARK/POWER,INT,-37.81489,145.02663,3001;3662;4263;4035
3120,BURKE/CANTERBURY,INT,-37.82264,145.05734,4035;3122;4040
3122,CANTERBURY/STANHOPE,INT,-37.82379,145.06466,3120;3127;3804
3126,CANTERBURY/WARRIGAL/UNION,INT,-37.82778,145.09885,3127;2200;3682
3127,CANTERBURY/BALWYN,INT,-37.82506,145.078,3122;4063;3126
3180,DONCASTER/BALWYN,INT,-37.79611,145.08372,4051;4057
3662,HIGH/DENMARK/PRINCESS/S'PARK/COTHAM,INT,-37.80876,145.02757,3001;3002;4324;4335;2820
3682,WARRIGAL/RIVERSDALE,INT,-37.83695,145.09699,3126;3804;2000
3685,WARRIGAL/HIGHBURY,INT,-37.85467,145.09384,2000;0970
3804,RIVERSDALE/TRAFALGAR/STANHOPE,INT,-37.83331,145.06247,4040;3122;3812;3682
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,INT,-37.83738,145.06119,3804;4040
4030,BURKE/DONCASTER/KILBY/HIGH,INT,-37.79561,145.06251,4321;4032;4051;2825
4032,BURKE/BELMORE/HARP,INT,-37.80202,145.06127,4321;4030;4057;4034
4034,BURKE/COTHAM/WHITEHORSE,INT,-37.81147,145.05946,4324;4032;4063;4035
4035,BURKE/BARKERS/MONT ALBERT,INT,-37.8172654,145.0583603,3002;4034;3120
4040,BURKE/CAMBERWELL/RIVERSDALE,INT,-37.83256,145.05545,4272;3120;3804;3812;4043;4266
4043,BURKE/TOORAK,INT,-37.84683,145.05275,4273;4040;2000
4051,DONCASTER/BULLEEN/SEVERN,INT,-37.79419,145.0696,4030;3180;2827
4057,BALWYN/BELMORE,INT,-37.80431,145.08197,4032;3180;4063
4063,WHITEHORSE/BALWYN/MAROONDAH,INT,-37.81404,145.0801,4034;4057;2200;3127
4262,BURWOOD/CHURCH,INT,-37.82155,145.01503,3001;4263
4263,BURWOOD/POWER,INT,-37.8228462,145.0251292,4262;3002;4264
4264,BURWOOD/GLENFERRIE,INT,-37.82389,145.03409,4263;4324;4266;4270
4266,BURWOOD/AUBURN/CAMBERWELL,INT,-37.8244706,145.043917,4264;4040
4270,GLENFERRIE/RIVERSDALE,INT,-37.82951,145.03304,4812;4264;4272
4272,RIVERSDALE/TOORONGA,INT,-37.83186,145.04668,4270;4040;4273
4273,TOORAK/TOORONGA,INT,-37.84632,145.04378,4272;4043
4321,HIGH/HARP/VALERIE,INT,-37.800776,145.0494611,4335;4032;2820;4030
4324,COTHAM/GLENFERRIE,INT,-37.809274,145.037306,4335;4034
4335,HIGH/CHARLES,INT,-37.80624,145.03518,3662;4324;4321
4323,COTHAM/CHARLES,INT,-37.80872,145.03432,4324;4335
4812,SWAN/MADDEN/RIVERSDALE,INT,-37.82859,145.01644,4270
4821,VICTORIA/BURNLEY/WALMER/BARKERS,INT,-37.81285,145.00849,3001
