SCATS Number,Site Description,Site Type,Latitude,Longitude,Neighbours
970,WARRIGAL/HIGH ST RD,INT,-37.86703,145.09159,2000|2200
2000,BURWOOD HWY/WARRIGAL,INT,-37.8516827,145.0943457,970|2200|2820
2200,MAROONDAH/UNION,INT,-37.81631,145.09812,2000|970
2820,CHANDLER HWY/PRINCESS ST,INT,-37.79477,145.03077,2000|2825
2825,EASTERN/BURKE ON RAMP,INT,-37.78661,145.06202,2820
2827,,,,,
2846,,,,,
3001,,,,,
3002,,,,,
3120,,,,,
3122,,,,,
3126,,,,,
3127,,,,,
3180,,,,,
3662,,,,,
3682,,,,,
3685,,,,,
3804,,,,,
3812,,,,,
4030,,,,,
4032,,,,,
4034,,,,,
4035,,,,,
4040,,,,,
4043,,,,,
4051,,,,,
4057,,,,,
4063,,,,,
4262,,,,,
4263,,,,,
4264,,,,,
4266,,,,,
4270,,,,,
4272,,,,,
4273,,,,,
4321,,,,,
4324,,,,,
4335,,,,,
4812,,,,,
4821,,,,,
